source_id,object_type,ra_deg,dec_deg,parallax_mas,distance_pc,phot_g_mean_mag,abs_mag_g,size_km,vx_au_d,vy_au_d,vz_au_d,speed_km_s,gm_km3_s2,mass_kg,density_g_cm3,mean_radius_km,albedo,rot_per_hr,H
20000048,asteroid,228.185611505,-13.012798877,62566161.545184523,1.598308055510e-05,,,216.473000,6.804157856376e-03,-5.924587742774e-03,-1.750733432549e-03,15.912679126,,,,,0.065000,11.890000,7.120000
20000375,asteroid,337.360107910,-9.761374888,73155967.914386675,1.366942477161e-05,,,216.000000,4.576015976553e-03,7.319859268823e-03,6.384306269169e-03,18.590366580,,,,,0.037000,16.899000,7.480000
20000107,asteroid,94.347776077,13.582830974,62961593.347267106,1.588269843307e-05,,,210.370000,-9.747554736095e-03,-9.762396333343e-04,-6.927447902839e-06,16.961907856,,,,,0.059000,4.844000,7.100000
20000121,asteroid,233.584752082,-16.876809519,55295576.583631888,1.808462921962e-05,,,209.000000,7.388713318666e-03,-3.373967977724e-03,-2.662158003376e-03,14.800039879,,,,,0.048200,5.551280,7.400000
20000117,asteroid,299.362769829,-33.071629792,68490532.389524519,1.460055813718e-05,,,208.974000,8.902101856803e-03,3.074837809378e-03,2.984913435083e-03,17.106561625,,,,,0.027000,9.127000,8.150000
20000106,asteroid,308.182339807,-23.018595324,66696816.857712634,1.499321927362e-05,,,207.869000,7.144848110183e-03,6.406402527725e-03,2.509113724234e-03,17.174315001,,,,,0.044000,16.210000,7.760000
20000041,asteroid,134.098367348,6.012015124,80064541.883829117,1.248992346014e-05,,,205.495000,-5.710258425004e-03,-9.420679255714e-03,-1.212218595273e-03,19.189176343,,,,,0.059000,5.988000,7.580000
20000094,asteroid,86.857178971,31.346623096,71755973.042023331,1.393612207606e-05,,,204.890000,-1.055347411678e-02,7.191643480491e-04,5.139433785639e-04,18.336867810,,,,,0.039500,7.220000,7.710000
20000013,asteroid,189.100933527,7.275409746,83844018.510747984,1.192690925080e-05,,,202.636000,-1.987193611351e-04,-9.132377758596e-03,-6.501198489759e-03,19.412819996,,,,,0.049000,7.045000,6.910000
20000045,asteroid,87.813165389,17.716786197,71038350.356521547,1.407690346104e-05,,,202.327000,-9.733729880663e-03,-2.902560418437e-04,5.390394014526e-04,16.886836432,,,,,0.045000,5.699000,7.760000
20000019,asteroid,160.619866560,6.858727158,78581166.489458680,1.272569554098e-05,,,200.000000,-4.875491507229e-03,-8.288026676668e-03,-3.438229835876e-03,17.681491745,,,,,0.037000,7.443200,7.490000
20000007,asteroid,147.838743777,7.560958892,86708433.296140507,1.153290357104e-05,,,199.830000,-7.979755295196e-03,-6.902306933098e-03,-3.669095775257e-03,19.341279604,,,,,0.276600,7.139000,5.680000
20000334,asteroid,113.147741307,20.304786927,51142034.936306871,1.955338697894e-05,,,198.770000,-7.897315643313e-03,-3.008550410089e-03,-5.862208085593e-04,14.667659754,,,,,0.041000,7.361000,7.620000
20000024,asteroid,221.952539738,-16.271579493,67976931.961100727,1.471087280862e-05,,,198.000000,6.201459779063e-03,-7.197996205782e-03,-3.261417993555e-03,17.392835135,,,,,0.067000,8.374000,7.220000
20000154,asteroid,197.855715961,0.617844893,69917014.874660298,1.430267012676e-05,,,192.611000,2.408534977957e-03,-7.319630909379e-03,-6.968758972246e-03,17.988964869,,,,,0.044000,25.224000,7.650000
20042355,asteroid,236.215457276,-22.110055399,7799972.561039048,1.282055792087e-04,,,192.000000,1.971261891405e-03,-2.942258205244e-03,-1.411904003796e-03,6.601422942,,,,,0.050000,5.000000,7.630000
20000702,asteroid,31.382548406,33.314163346,64170622.833154902,1.558345479364e-05,,,190.980000,-5.809513563293e-03,7.332274239890e-03,1.976384937298e-03,16.555008414,,,,,0.061000,16.707200,7.470000
20000009,asteroid,282.536614199,-25.945632453,78131555.095175564,1.279892610331e-05,,,190.000000,9.636151004696e-03,2.690478820214e-03,3.092055606465e-04,17.330982637,,,,,0.118000,5.079000,6.330000
20005145,asteroid,280.700890560,-14.588632658,6767146.486680241,1.477727727585e-04,,,190.000000,2.027259362353e-03,-1.405583167877e-04,-8.361966075410e-04,3.804780145,,,,,0.044000,9.980000,7.070000
20000029,asteroid,215.131394601,-18.372639408,75566525.297442317,1.323337279389e-05,,,189.559000,6.132519047048e-03,-6.948437576707e-03,-3.883094080426e-03,17.398082401,,,,,0.216000,5.392100,5.970000
20054598,asteroid,121.285273512,34.777344901,15533809.042878907,6.437571089226e-05,,,187.500000,-4.516296152560e-03,-1.382153545150e-03,-2.106755382609e-03,8.954444202,,,,,0.050000,9.140000,7.460000
20000006,asteroid,30.600403424,-2.262483278,106326927.382984832,9.404955307305e-06,,,185.180000,-6.174206371101e-03,1.149526815077e-02,3.579291568312e-03,23.427407120,,,,,0.267900,7.274500,5.610000
20000130,asteroid,61.017793176,-2.438274327,80879927.155734703,1.236400717912e-05,,,180.652000,-9.284941095206e-03,6.645198601421e-03,2.641451648287e-03,20.291762758,,,,,0.086000,5.225000,7.460000
20000165,asteroid,317.501023514,-13.564389212,71273242.426944658,1.403051083336e-05,,,180.083000,7.383332882211e-03,5.778221693402e-03,4.686097601354e-03,18.148192057,,,,,0.047000,7.226000,7.810000
