source_id,object_type,ra_deg,dec_deg,parallax_mas,distance_pc,phot_g_mean_mag,abs_mag_g,size_km,vx_au_d,vy_au_d,vz_au_d,speed_km_s,gm_km3_s2,mass_kg,density_g_cm3,mean_radius_km,albedo,rot_per_hr,H
20000065,asteroid,166.841168131,6.331464332,61015150.906149700,1.638937190433e-05,,,237.260000,-1.172824820302e-03,-8.756322187664e-03,-3.189812784705e-03,16.263127319,,,,,0.070600,6.081400,6.830000
20000088,asteroid,157.259757527,4.599480551,65075659.753571078,1.536672857082e-05,,,232.000000,-2.759063669021e-03,-7.653251221234e-03,-3.684688516734e-03,15.463530023,,,,,0.067100,6.042000,7.250000
20000015,asteroid,168.488918464,-6.045996806,69117330.205130771,1.446815143224e-05,,,231.689000,-2.376254227865e-03,-7.701261723250e-03,-4.621403091188e-03,16.086099050,,,,,0.248000,6.083000,5.430000
20095626,asteroid,297.526681049,-23.173913959,11131692.820619186,8.983359639135e-05,,,230.500000,3.967267319525e-03,1.762330571961e-03,-4.704671708389e-04,7.560413443,,,,,0.053000,5.800000,7.190000
20000624,asteroid,175.384421948,-2.993808849,40037126.723312937,2.497681731536e-05,,,225.000000,-2.474861028625e-04,-5.784175202968e-03,-5.027567546990e-03,13.276375623,,,,,0.025000,6.924000,7.330000
20000016,asteroid,83.663292127,20.479805679,76047074.461165741,1.314974977125e-05,,,222.000000,-1.055762470005e-02,2.081580414952e-03,1.094009207222e-03,18.728030763,,,,,0.120300,4.196000,6.200000
20000324,asteroid,251.729074502,-33.101931777,73156831.797463536,1.366926335422e-05,,,220.691000,9.897908327508e-03,8.767507357891e-05,1.270659386953e-03,17.279110910,,,,,0.050000,29.430000,7.190000
20000048,asteroid,228.052861094,-12.987916201,62570501.353170328,1.598197198957e-05,,,216.473000,6.789543574210e-03,-5.940880836513e-03,-1.755785318977e-03,15.913845045,,,,,0.065000,11.890000,7.120000
20000375,asteroid,337.215160038,-9.870830637,73162420.663461968,1.366821916131e-05,,,216.000000,4.603930355533e-03,7.308178569366e-03,6.379071910246e-03,18.591864550,,,,,0.037000,16.899000,7.480000
20000107,asteroid,94.202413622,13.582091677,62957942.882712133,1.588361935305e-05,,,210.370000,-9.749177897000e-03,-9.542083829487e-04,-1.604234407107e-06,16.960941978,,,,,0.059000,4.844000,7.100000
20000121,asteroid,233.479533550,-16.838361097,55285483.947711810,1.808793065727e-05,,,209.000000,7.378732697108e-03,-3.387464976849e-03,-2.667243386402e-03,14.797099668,,,,,0.048200,5.551280,7.400000
20000117,asteroid,299.189118787,-33.125199483,68486469.765757784,1.460142424365e-05,,,208.974000,8.913126639324e-03,3.055173751439e-03,2.970216820089e-03,17.105540570,,,,,0.027000,9.127000,8.150000
20000106,asteroid,308.023335462,-23.050100008,66669233.733235389,1.499942243226e-05,,,207.869000,7.159336010711e-03,6.387929350047e-03,2.499131671920e-03,17.167409172,,,,,0.044000,16.210000,7.760000
20000041,asteroid,133.901936998,6.028719024,79990174.679128245,1.250153539496e-05,,,205.495000,-5.735647909148e-03,-9.394403242982e-03,-1.208374114734e-03,19.172523836,,,,,0.059000,5.988000,7.580000
20000094,asteroid,86.653516761,31.340437162,71763906.300764397,1.393458148458e-05,,,204.890000,-1.055202886001e-02,7.443460962575e-04,5.293115910826e-04,18.338697515,,,,,0.039500,7.220000,7.710000
20000013,asteroid,188.926778827,7.403311299,83866613.940770760,1.192369589055e-05,,,202.636000,-2.382461960517e-04,-9.138648714263e-03,-6.496043973268e-03,19.417827100,,,,,0.049000,7.045000,6.910000
20000045,asteroid,87.647159993,17.705082113,71028964.633480132,1.407876357427e-05,,,202.327000,-9.732619638411e-03,-2.627086565192e-04,5.478385710694e-04,16.884414600,,,,,0.045000,5.699000,7.760000
20000019,asteroid,160.448613727,6.924174731,78616421.260581538,1.271998882632e-05,,,200.000000,-4.908676909872e-03,-8.276305015655e-03,-3.433979338237e-03,17.690079175,,,,,0.037000,7.443200,7.490000
20000007,asteroid,147.636257833,7.641312268,86785864.510164812,1.152261379943e-05,,,199.830000,-8.015950726985e-03,-6.879469231237e-03,-3.663389276954e-03,19.358506992,,,,,0.276600,7.139000,5.680000
20000334,asteroid,113.042211126,20.312574232,51143225.118162945,1.955293194142e-05,,,198.770000,-7.902798880192e-03,-2.995733389209e-03,-5.810859111622e-04,14.668036314,,,,,0.041000,7.361000,7.620000
20000024,asteroid,221.798384220,-16.223611337,67997369.120876461,1.470645133670e-05,,,198.000000,6.182497175166e-03,-7.214990779703e-03,-3.268837686768e-03,17.397881553,,,,,0.067000,8.374000,7.220000
20000154,asteroid,197.732248509,0.729481096,69914583.219316632,1.430316757897e-05,,,192.611000,2.381826315475e-03,-7.328201358477e-03,-6.968428522002e-03,17.988380636,,,,,0.044000,25.224000,7.650000
20042355,asteroid,236.209139365,-22.108624802,7800406.077689422,1.281984540344e-04,,,192.000000,1.971079968101e-03,-2.942520313603e-03,-1.412032571585e-03,6.601692765,,,,,0.050000,5.000000,7.630000
20000702,asteroid,31.219216044,33.280549083,64172793.261121377,1.558292773592e-05,,,190.980000,-5.792634099278e-03,7.342536764217e-03,1.989359950365e-03,16.555571428,,,,,0.061000,16.707200,7.470000
20000009,asteroid,282.337724112,-25.946286286,78116562.842392549,1.280138249321e-05,,,190.000000,9.642931715123e-03,2.659729798734e-03,2.938842331927e-04,17.327260715,,,,,0.118000,5.079000,6.330000
20005145,asteroid,280.697740255,-14.587578650,6767276.284323341,1.477699384487e-04,,,190.000000,2.027304704340e-03,-1.408014813363e-04,-8.362599057601e-04,3.804921232,,,,,0.044000,9.980000,7.070000
20000029,asteroid,214.963362061,-18.303193673,75572464.442073956,1.323233279982e-05,,,189.559000,6.107051918894e-03,-6.966297279771e-03,-3.893403057362e-03,17.399544776,,,,,0.216000,5.392100,5.970000
20054598,asteroid,121.265433880,34.785866861,15533572.002929179,6.437669325584e-05,,,187.500000,-4.516890160274e-03,-1.381172635672e-03,-2.105960281892e-03,8.954327971,,,,,0.050000,9.140000,7.460000
20000006,asteroid,30.282411131,-2.350125320,106344523.598745093,9.403399123524e-06,,,185.180000,-6.118312007269e-03,1.152811577760e-02,3.576680425332e-03,23.430637801,,,,,0.267900,7.274500,5.610000
20000130,asteroid,60.807291656,-2.488227586,80911266.343947887,1.235921825459e-05,,,180.652000,-9.266697186184e-03,6.677983161406e-03,2.639834669149e-03,20.298395322,,,,,0.086000,5.225000,7.460000
20000165,asteroid,317.345565583,-13.644653765,71281308.086953104,1.402892324563e-05,,,180.083000,7.404195980448e-03,5.759055271256e-03,4.679242188338e-03,18.150106707,,,,,0.047000,7.226000,7.810000
20000039,asteroid,125.442371473,13.700953381,71539538.573556468,1.397828417598e-05,,,179.484000,-8.713580709696e-03,-4.717731916028e-03,-5.282115712546e-04,17.180946214,,,,,0.269000,5.138000,5.970000
20000209,asteroid,87.972428328,30.585894416,62328788.537415393,1.604395053178e-05,,,179.008000,-9.214785404425e-03,1.023470490241e-04,7.332874048737e-05,15.956492415,,,,,0.028000,5.736600,8.300000
20000096,asteroid,358.149243183,10.856148458,59534306.360102609,1.679703789528e-05,,,177.774000,-1.066336208812e-03,6.995721059301e-03,4.866082358164e-03,14.869973044,,,,,0.048000,13.868000,7.660000
20000423,asteroid,60.288967423,19.163647704,65293944.722241759,1.531535587647e-05,,,175.859000,-8.171207621254e-03,3.444205588800e-03,3.497509306393e-03,16.504676473,,,,,0.067000,4.775000,7.380000
20000259,asteroid,304.489863956,-25.923687214,72758761.418289393,1.374404924585e-05,,,174.318000,9.429627257759e-03,5.033234456001e-03,2.784221547675e-04,18.513544090,,,,,0.043000,8.143000,7.810000
20000372,asteroid,247.943758683,-45.116387282,52378514.502939261,1.909179764813e-05,,,173.642000,6.935979875352e-03,-2.872214289660e-03,-6.014472174991e-04,13.039970383,,,,,0.059000,8.567000,7.320000
20000747,asteroid,32.335725211,-5.995559592,102845166.698713616,9.723354359758e-06,,,171.710000,-7.711198797563e-03,1.090937858106e-02,4.235202121481e-03,24.265987048,,,,,0.050300,9.414600,8.030000
20000409,asteroid,237.226517180,-20.541802423,86433103.843731478,1.156964120840e-05,,,171.012000,9.730574151295e-03,-6.193298138865e-03,-2.271900013083e-04,19.975086739,,,,,0.054000,9.022000,7.660000
20000153,asteroid,37.308197184,15.879487755,48002690.897825606,2.083216547440e-05,,,170.630000,-4.345094808048e-03,6.446845164853e-03,1.652208678181e-03,13.761700739,,,,,0.061800,5.958500,7.740000
20000790,asteroid,174.190608598,-18.640477587,59147590.852557793,1.690685935954e-05,,,170.370000,1.325462338899e-03,-8.738103291206e-03,-2.140613624767e-03,15.745172585,,,,,0.038400,10.370000,8.040000
20127546,asteroid,246.918607479,58.094965458,7314710.816944459,1.367108044358e-04,,,170.000000,-2.869562570108e-04,-4.054158445231e-03,-2.224645882392e-04,7.047696157,,,,,0.040000,,8.060000
20000241,asteroid,182.013745017,-6.870023180,61481622.763244957,1.626502286465e-05,,,168.900000,9.836132182785e-04,-8.154128860349e-03,-3.433853805262e-03,15.413726384,,,,,0.057500,15.510000,7.750000
20000047,asteroid,146.248519631,16.925003585,63191351.386662088,1.582495037780e-05,,,168.174000,-5.299860511056e-03,-6.260611566805e-03,-3.361300633627e-03,15.348768708,,,,,0.082000,13.178000,8.170000
20000488,asteroid,252.487422201,-20.559121195,66212559.667115003,1.510287481752e-05,,,168.117000,8.674820985561e-03,-3.141939619758e-03,-3.381623757936e-03,17.014123666,,,,,0.047000,32.645000,7.880000
20000532,asteroid,346.631051512,-19.907373302,64201323.380587153,1.557600291309e-05,,,167.791000,3.329477381980e-03,7.966758404100e-03,1.680715242995e-03,15.230863460,,,,,0.285000,9.405000,5.920000
20000022,asteroid,20.754479023,-2.281501940,76447341.336080328,1.308089964311e-05,,,167.536000,-3.745656291529e-03,8.459597882699e-03,5.660441290602e-03,18.779350281,,,,,0.166000,4.148300,6.790000
20000566,asteroid,24.240917674,5.790184291,69428749.549186602,1.440325522918e-05,,,167.381000,-4.271588569137e-03,8.646122016093e-03,4.304462229122e-03,18.285552415,,,,,0.039000,12.103000,8.200000
20000049,asteroid,341.917356054,-4.778717116,78481530.680015281,1.274185138000e-05,,,166.252000,1.785989772991e-03,1.021219373495e-02,4.709965636231e-03,19.715997704,,,,,0.048000,20.705000,7.990000
20002060,asteroid,23.310173229,10.250453568,11207623.661414787,8.922498026435e-05,,,166.000000,-1.853378813953e-03,2.574730416390e-03,6.916106989841e-04,5.621924661,,,,,0.150000,5.918000,5.550000
20000059,asteroid,356.266809710,-2.552005449,85174620.934921488,1.174058644492e-05,,,165.119000,3.385691289034e-04,1.123860255788e-02,2.985880594542e-03,20.142752579,,,,,0.044000,13.671000,8.090000
20000386,asteroid,76.664440568,2.566528631,81581031.243593559,1.225775140074e-05,,,165.010000,-1.077202399740e-02,3.830591283248e-03,1.116391472149e-03,19.889628406,,,,,0.069200,9.763000,7.750000
20000128,asteroid,248.704269496,-21.341007344,70171072.537189141,1.425088663808e-05,,,162.515000,9.351699446716e-03,-1.667696827237e-03,-1.871252976680e-03,16.763603755,,,,,0.067000,38.932500,7.670000
20000194,asteroid,108.374700836,7.786759055,67323669.894104347,1.485361688650e-05,,,161.667000,-8.794638504288e-03,-1.445794528471e-03,8.516573618486e-04,15.502226159,,,,,0.057000,15.679000,7.840000
20000654,asteroid,53.242406052,31.327084712,100279229.315731555,9.972154820331e-06,,,160.736000,-1.123564167220e-02,5.561466059209e-03,-1.312521929704e-03,21.825441812,,,,,0.027000,31.735000,8.600000
20000185,asteroid,18.149357167,-8.859525778,86259264.678478941,1.159295762290e-05,,,160.464000,-3.547448868701e-03,1.120970746152e-02,1.093089200025e-03,20.445622615,,,,,0.062000,21.797000,7.630000
20000146,asteroid,103.200189974,26.978452616,73182014.118205160,1.366455968791e-05,,,160.310000,-9.463110321899e-03,-3.301222740674e-03,8.825835329007e-04,17.420510879,,,,,0.036000,18.557000,8.510000
20000054,asteroid,134.388247675,17.466085937,63835657.996069394,1.566522585326e-05,,,160.120000,-5.961152712192e-03,-4.757101003326e-03,-3.984650029589e-03,14.898860357,,,,,0.059000,7.024000,7.960000
20000596,asteroid,134.739301439,30.139675789,66579332.820944391,1.501967589086e-05,,,159.726000,-6.241698469068e-03,-6.878327868002e-03,-1.983935385161e-03,16.444847423,,,,,0.040000,15.848000,8.930000
20000444,asteroid,31.158271864,9.469883227,86611354.338418946,1.154583030872e-05,,,159.331000,-5.293359920135e-03,1.042293108157e-02,2.248020459770e-03,20.611664469,,,,,0.051000,6.214000,8.070000
20000190,asteroid,283.466534366,-16.947066275,44541255.343557715,2.245109600721e-05,,,159.000000,7.044511352101e-03,1.951514297172e-03,5.435139396196e-04,12.691585186,,,,,0.066000,6.521000,7.880000
20000238,asteroid,177.556666788,-0.343668997,66240466.792114429,1.509651197263e-05,,,155.659000,-9.173787908670e-04,-9.170265187377e-03,-1.805401203618e-03,16.260474363,,,,,0.039000,8.874900,8.040000
20000120,asteroid,163.729263300,6.675551471,67857865.670727655,1.473668513025e-05,,,155.132000,-2.586840136070e-03,-8.307412686659e-03,-4.914283282354e-03,17.302013145,,,,,0.058000,46.551000,7.780000
20000085,asteroid,46.000635142,12.197109281,83042921.915449649,1.204196549127e-05,,,154.790000,-6.680554070714e-03,8.950383856002e-03,1.412566114379e-03,19.492122245,,,,,0.066600,6.875000,7.940000
20000361,asteroid,153.469188032,21.475214459,59689259.394223422,1.675343286462e-05,,,154.334000,-6.695186235449e-03,-6.138631145208e-03,-3.789352824681e-03,17.041221778,,,,,0.038000,13.835000,8.370000
20000093,asteroid,186.905857710,-3.631157149,76119994.846535891,1.313715275488e-05,,,154.155000,2.893385415408e-03,-8.576389698341e-03,-5.384568712337e-03,18.235431785,,,,,0.056000,5.982000,7.900000
20000014,asteroid,219.448937649,-8.439600143,92767082.982477903,1.077968572310e-05,,,152.000000,6.909591395427e-03,-8.807529083670e-03,-5.149302864449e-03,21.334916842,,,,,0.159000,15.028000,6.540000
20000776,asteroid,219.836430364,-2.600922399,60628139.867264748,1.649399111022e-05,,,151.711000,5.049254640408e-03,-5.235322867325e-03,-4.479997938384e-03,14.790934885,,,,,0.065000,7.668000,7.690000
20000139,asteroid,257.333523581,-33.593888369,76138466.624547645,1.313396558052e-05,,,151.116000,9.942316694511e-03,-2.991275050017e-03,-2.106957360653e-03,18.343365974,,,,,0.052000,20.991000,8.050000
20000354,asteroid,286.624815699,-12.062050225,68499897.613631904,1.459856196633e-05,,,148.970000,9.139340980839e-03,2.228594053488e-03,-1.547211049563e-03,16.506882329,,,,,0.201000,4.277000,6.170000
20000419,asteroid,325.574475026,-9.629350411,98258273.641346261,1.017726002036e-05,,,148.701000,9.171081728204e-03,8.374229950669e-03,3.699734820411e-03,22.437202526,,,,,0.034000,16.784000,8.560000
20000471,asteroid,66.928325911,17.521827437,90632019.092139810,1.103362818149e-05,,,148.128000,-1.072792916102e-02,4.093281650701e-03,5.076544260677e-03,21.737523149,,,,,0.164000,7.113000,6.330000
