date,name,naif_id,x_au,y_au,z_au,vx_au_per_day,vy_au_per_day,vz_au_per_day
2023-01-27,602 ENCELADUS,602,8.218100907834032,-5.385317060842519,-0.233024936876304,0.006221468251883925,-0.001166570898276082,0.0025291881591837017
2023-01-28,602 ENCELADUS,602,8.22166020285372,-5.37870120644218,-0.2343173317626832,-0.003996275293481915,0.002586697181656732,0.0015520415048835175
2023-01-29,602 ENCELADUS,602,8.226515173595436,-5.375080438189675,-0.23416445031967048,0.0009263019105892658,0.010989431911812779,-0.003329088777555475
2023-01-30,602 ENCELADUS,602,8.227911723614348,-5.372111134895934,-0.23333430283021817,0.009988348498919783,0.0051652082545206104,-0.0011529539445744056
2023-01-31,602 ENCELADUS,602,8.22887179542298,-5.365958308506046,-0.23413005169073853,0.002660903264998234,-0.00178760151237647,0.00320245706366109
2023-02-01,602 ENCELADUS,602,8.233400185329145,-5.359976959217215,-0.2351809161514853,-0.004439545578314939,0.005801772464660634,-8.76295617225427e-05
2023-02-02,602 ENCELADUS,602,8.237458562567081,-5.35711014581027,-0.23455281868502387,0.004567553593675448,0.010862585794507032,-0.0036125258026969776
2023-02-03,602 ENCELADUS,602,8.238054202572917,-5.353299847982151,-0.23408313051501617,0.009485632091427998,0.0019483500492082752,0.0005849034829229562
2023-02-04,602 ENCELADUS,602,8.240003785029824,-5.346591925102252,-0.23526293466227077,-0.0008574884640128616,-0.0007831144080726617,0.0030195335462612884
2023-02-05,602 ENCELADUS,602,8.24504915612851,-5.341569969853956,-0.23585815603095472,-0.0031009549008789105,0.008739687373857082,-0.0017546243173816897
2023-02-06,602 ENCELADUS,602,8.247973366948656,-5.33900613551631,-0.23495854025232976,0.007765916358558027,0.009163507633983884,-0.003028877446231143
2023-02-07,602 ENCELADUS,602,8.248307971134848,-5.334133693317911,-0.2350175575572755,0.00726229976513294,-0.0005640183421862381,0.00212014889245967
2023-02-08,602 ENCELADUS,602,8.251437100127882,-5.327385611586324,-0.23632991154183558,-0.0034631299627345333,0.0015757559405739146,0.0020381791707628225
2023-02-09,602 ENCELADUS,602,8.256419029507972,-5.323409255295347,-0.23636807584985475,-0.0003004789053243723,0.01067600567967811,-0.0030382324719278593
2023-02-10,602 ENCELADUS,602,8.258151944846551,-5.32061634678875,-0.23547033469894596,0.009691446294511508,0.006312107089844749,-0.0017178727470747055
2023-02-11,602 ENCELADUS,602,8.25883113408667,-5.314732285788151,-0.23609027585746145,0.0039015872487978965,-0.0017350781400655142,0.003062417626183491
2023-02-12,602 ENCELADUS,602,8.263031436784914,-5.308463421229667,-0.23725243719953815,-0.00452496373858347,0.004698703409102292,0.0005066803183432424
2023-02-13,602 ENCELADUS,602,8.267383326357145,-5.305358449461743,-0.23676999151161437,0.003278281588487772,0.011116347985703628,-0.003613042072909059
2023-02-14,602 ENCELADUS,602,8.268169370793306,-5.30185627230613,-0.23614955251993064,0.009837051059928915,0.0030402466986048696,-1.401658371988899e-05
2023-02-15,602 ENCELADUS,602,8.269708009078462,-5.295266879331322,-0.2372197640478697,0.00026688125729852516,-0.0012844398980926864,0.0031810990150197022
2023-02-16,602 ENCELADUS,602,8.274603917469515,-5.289869912871604,-0.23798951111972433,-0.00378832220922564,0.007822170501614207,-0.0011993417673432437
2023-02-17,602 ENCELADUS,602,8.277910448030363,-5.287240598163764,-0.23715366201467014,0.0067363571035371035,0.009931589771828961,-0.003324260743551405
2023-02-18,602 ENCELADUS,602,8.27823494833671,-5.282723893976943,-0.23701757402483326,0.008163511124862211,0.0001992805930209819,0.0016402069190639143
2023-02-19,602 ENCELADUS,602,8.280921495404094,-5.27590891362,-0.23831452419426613,-0.002739976353069245,0.0006573062005751471,0.0024572886076636292
2023-02-20,602 ENCELADUS,602,8.285962128607128,-5.271556905122093,-0.23854775306695508,-0.0014322755697531945,0.010178111187127546,-0.002659919459052339
2023-02-21,602 ENCELADUS,602,8.28806288408371,-5.268883169106998,-0.23761558181817177,0.009180492654729068,0.007406652218363072,-0.002234693959837263
2023-02-22,602 ENCELADUS,602,8.288526103637906,-5.263305333626837,-0.23804645037982297,0.0051102712795068304,-0.0014851437162866125,0.0028218442719132016
2023-02-23,602 ENCELADUS,602,8.292354160548605,-5.2567964806357015,-0.2392908010578303,-0.004387838926059547,0.003596602564964308,0.001078852364822376
2023-02-24,602 ENCELADUS,602,8.296950115287368,-5.253403835542481,-0.2389752707168935,0.0019735781844232286,0.011173194605416947,-0.0035088708395370374
2023-02-25,602 ENCELADUS,602,8.29798647931918,-5.250171478061157,-0.23823004647199975,0.009968461259194155,0.004185924435019927,-0.000619917903666872
2023-02-26,602 ENCELADUS,602,8.299149299582602,-5.24375717127511,-0.23916448181731997,0.0014657149428111973,-0.0016008302884558344,0.0032383909457877657
2023-02-27,602 ENCELADUS,602,8.303827063166745,-5.238005102189407,-0.2400917318198128,-0.004279650115178168,0.006810527008129932,-0.0006137517331904962
2023-02-28,602 ENCELADUS,602,8.307495283639991,-5.235245962315534,-0.2393514682493827,0.005581181312206861,0.010537775537099975,-0.0035226461766024028
2023-03-01,602 ENCELADUS,602,8.307880874625917,-5.231078858737574,-0.23903047107267428,0.008894364040915287,0.001103017418977541,0.0011030446464973332
2023-03-02,602 ENCELADUS,602,8.310122299954104,-5.224262029056545,-0.24027774309095196,-0.0018524076133613625,-0.0001391989687360843,0.0027964274581643005
2023-03-03,602 ENCELADUS,602,8.315147943491235,-5.219524629909859,-0.24070409076697485,-0.002437280776755632,0.00951277287655512,-0.0022061828201446814
2023-03-04,602 ENCELADUS,602,8.31763250653209,-5.216908390446327,-0.23977148394290038,0.008467112143320988,0.008416345349440671,-0.00268749888817903
2023-03-05,602 ENCELADUS,602,8.317946880059612,-5.211665630280496,-0.24000475759657292,0.00624462262408939,-0.0010460188033832047,0.0024891350474218242
2023-03-06,602 ENCELADUS,602,8.32136714660874,-5.204973960332211,-0.24129796878087384,-0.00403469987653977,0.002526409361930883,0.0016132404234748357
2023-03-07,602 ENCELADUS,602,8.326148776874454,-5.20125517226778,-0.24116397936629852,0.0006926180816681674,0.011029771431307706,-0.003302059694286929
2023-03-08,602 ENCELADUS,602,8.327486794551778,-5.1982485201612345,-0.2403221902705388,0.009875050019154601,0.00534598946567533,-0.0012116744042560456
2023-03-09,602 ENCELADUS,602,8.32832205207393,-5.192063157063723,-0.24109737811970633,0.0027058454067040638,-0.0017253886710355824,0.003190966486421829
2023-03-10,602 ENCELADUS,602,8.332722182534555,-5.1859877338486084,-0.24215981718356883,-0.004556121118561318,0.0057358208236641724,-1.598625093108142e-05
2023-03-11,602 ENCELADUS,602,8.336722751759902,-5.18303828383853,-0.24154411125028807,0.004338309844254233,0.010964445461813606,-0.0036184697577973175
2023-03-12,602 ENCELADUS,602,8.337241217546104,-5.179202727005813,-0.24105471212593788,0.009434730952268662,0.002121023195274702,0.0005243155061424509
2023-03-13,602 ENCELADUS,602,8.33905050087705,-5.172446768956588,-0.24222074835129193,-0.0008266609826517881,-0.000785457368160599,0.003043298951240681
2023-03-14,602 ENCELADUS,602,8.343988089806155,-5.167322966791991,-0.2428337402107852,-0.003287141298086058,0.008702730038729446,-0.0016916550577277688
2023-03-15,602 ENCELADUS,602,8.346860504583914,-5.164698142527271,-0.2419358171492072,0.007572982984148674,0.009312178394383903,-0.0030631527648300647
2023-03-16,602 ENCELADUS,602,8.347096679126285,-5.1598054588407525,-0.24197055128478384,0.00726779892162935,-0.00042717633771207643,0.0020728744354541868
2023-03-17,602 ENCELADUS,602,8.350083006006056,-5.152990563951436,-0.24327891923085088,-0.0034799017865031635,0.0015227859171879463,0.002093092237277011
2023-03-18,602 ENCELADUS,602,8.354982868287467,-5.148915380791889,-0.24333588311975207,-0.0005273123946828904,0.010692661665273016,-0.002999685678803848
2023-03-19,602 ENCELADUS,602,8.356660798800903,-5.146081650509648,-0.2424290159263056,0.009556073985588104,0.0064868058467561045,-0.00177156864977195
2023-03-20,602 ENCELADUS,602,8.357222242291014,-5.140171547059374,-0.24302597756730426,0.003943916675248696,-0.0016532026355662302,0.003040447093330323
2023-03-21,602 ENCELADUS,602,8.361289870112438,-5.133815671378439,-0.24419588562918726,-0.004613319946332476,0.004629117009117946,0.000577185495085042
2023-03-22,602 ENCELADUS,602,8.36558048498127,-5.130623099134877,-0.24372844279952144,0.003044135151961424,0.011196751253704338,-0.0036074814872700694
2023-03-23,602 ENCELADUS,602,8.366297478660496,-5.1270932307023305,-0.24309068171399995,0.009765553817978442,0.003218212850197807,-7.572573434568583e-05
2023-03-24,602 ENCELADUS,602,8.367701150741311,-5.120462211068802,-0.24414455670012614,0.000308126152052546,-0.0012655847926587654,0.0031923577842234477
2023-03-25,602 ENCELADUS,602,8.372482060996472,-5.114964530880602,-0.24493107919944634,-0.003952815919440871,0.007771831051445325,-0.0011316851318491884
2023-03-26,602 ENCELADUS,602,8.375736236614868,-5.112266174518412,-0.24410141605803792,0.006527670361536736,0.01006620638615435,-0.0033498701346948326
